0 7.000000 0.000000
1 325.889475 33.381366 ACTIVE
2 362.316775 3.972354 SLEEP
3 50.794727 72.217289 SLEEP
4 365.350342 75.582975 ACTIVE
5 252.943698 39.269127 ACTIVE
6 39.016162 39.140211 ACTIVE
7 111.399288 27.017553 SLEEP
8 218.752608 72.004308 RELAY
9 383.002734 29.539742 SLEEP
10 385.955414 8.896220 FAIL
11 63.045233 62.420165 ACTIVE
12 388.237113 31.179107 SLEEP
13 382.866779 19.335303 SLEEP
14 194.150259 32.312972 ACTIVE
15 320.112188 7.716362 SLEEP
16 56.754535 10.557863 SLEEP
17 168.704513 75.364047 FAIL
18 366.294210 76.490763 ACTIVE
19 316.882932 46.016688 ACTIVE
20 383.796971 4.782363 FAIL
21 262.296280 18.782393 ACTIVE
22 14.284671 28.252686 SLEEP
23 339.651722 65.695523 ACTIVE
24 373.597299 1.232275 SLEEP
25 271.494062 3.441904 ACTIVE
26 303.096052 13.519202 FAIL
27 297.252987 51.929238 ACTIVE
28 156.890808 58.537791 SLEEP
29 262.191156 51.819677 FAIL
30 68.474675 36.073897 SLEEP
31 282.418435 43.760711 RELAY
32 12.733139 23.705664 SLEEP
33 110.769194 59.575425 FAIL
34 18.468556 15.116401 RELAY
35 38.852712 54.942035 FAIL
36 329.383131 14.680892 FAIL
37 277.931449 29.478768 ACTIVE
38 126.839792 50.049485 FAIL
39 380.088820 62.418195 RELAY
40 13.778432 6.490062 ACTIVE
41 175.497744 74.350878 ACTIVE
42 152.623383 62.057014 ACTIVE
43 306.206715 38.943331 SLEEP
44 318.079960 34.868687 SLEEP
45 74.749042 35.742700 SLEEP
46 195.905758 24.507958 SLEEP
47 178.234480 40.680692 SLEEP
48 258.525204 40.861725 SLEEP
49 283.745932 65.410217 SLEEP
50 301.874673 63.586513 RELAY
51 110.410031 51.545450 FAIL
52 271.881071 30.288751 ACTIVE
53 262.039202 64.926437 SLEEP
54 65.044694 42.626047 ACTIVE
55 47.599073 28.058168 RELAY
56 199.345621 75.120125 SLEEP
57 383.897583 70.075425 ACTIVE
58 136.154291 44.012507 SLEEP
59 234.107100 49.798007 RELAY
60 89.524776 46.963576 SLEEP
61 300.506824 16.619383 ACTIVE
62 102.038046 24.099706 SLEEP
63 202.382821 37.673868 FAIL
64 279.630689 18.439053 SLEEP
65 356.361301 67.544703 FAIL
66 383.716570 15.581143 ACTIVE
67 218.886212 18.073742 ACTIVE
68 55.449777 13.656644 ACTIVE
69 59.717602 18.213144 ACTIVE
70 103.003302 34.855895 ACTIVE
71 336.286902 24.888183 ACTIVE
72 101.712872 73.870371 SLEEP
73 325.713930 34.416591 FAIL
74 97.409987 14.785306 FAIL
75 371.705449 72.390477 ACTIVE
76 139.993506 78.379870 FAIL
77 78.638100 35.109598 FAIL
78 100.433543 8.889538 ACTIVE
79 246.417870 20.645176 SLEEP
80 189.315540 32.697588 FAIL
81 140.663803 47.591686 SLEEP
82 332.331451 20.976940 SLEEP
83 234.105636 48.227447 SLEEP
84 219.889443 56.897262 SLEEP
85 366.877466 17.739739 ACTIVE
86 114.335608 9.393412 RELAY
87 302.880092 23.734070 ACTIVE
88 301.491638 25.502264 SLEEP
89 152.178339 33.933341 FAIL
90 227.128656 40.628663 FAIL
91 30.341716 6.841264 SLEEP
92 21.580047 20.998579 ACTIVE
93 212.319021 64.081170 ACTIVE
94 311.666892 2.337622 ACTIVE
95 373.604274 74.308331 FAIL
96 51.962483 58.426469 SLEEP
97 227.529464 39.088718 FAIL
98 187.756256 46.282005 FAIL
99 4.760828 18.982686 SLEEP
100 134.849058 36.707906 FAIL
101 64.872923 77.047083 SLEEP
102 317.713816 43.744457 ACTIVE
103 124.486017 41.690866 FAIL
104 211.413254 18.527551 ACTIVE
105 66.259492 39.111820 FAIL
106 240.792777 49.924807 RELAY
107 105.188514 54.330843 ACTIVE
108 261.631639 31.641217 ACTIVE
109 275.685801 29.394932 ACTIVE
110 299.260637 79.038560 SLEEP
111 180.216639 3.019109 ACTIVE
112 33.528551 70.813441 SLEEP
113 91.590787 73.062946 RELAY
114 365.334945 63.694710 ACTIVE
115 60.951208 7.896982 ACTIVE
116 330.326791 20.949695 FAIL
117 215.336974 26.828547 SLEEP
118 398.453887 54.378236 SLEEP
119 31.270212 10.924251 FAIL
120 177.071308 57.698200 ACTIVE
121 42.661108 8.540949 SLEEP
122 384.759232 52.300588 RELAY
123 1.853690 39.533915 SLEEP
124 309.964186 62.324138 SLEEP
125 326.921288 57.202966 ACTIVE
126 347.477882 72.297645 SLEEP
127 33.774338 71.273800 RELAY
128 159.913060 26.733044 ACTIVE
129 103.948161 55.899667 ACTIVE
130 320.027392 15.824786 FAIL
131 172.565531 2.443276 SLEEP
132 364.259038 59.525941 FAIL
133 72.738811 40.001795 FAIL
134 105.521167 38.393771 SLEEP
135 58.215592 72.377779 FAIL
136 54.427423 48.789332 ACTIVE
137 347.716883 49.413311 ACTIVE
138 231.881835 68.755384 FAIL
139 219.944081 64.439154 FAIL
140 57.981919 46.137721 ACTIVE
141 341.212447 14.633798 ACTIVE
142 248.822053 19.194561 SLEEP
143 140.380952 70.920955 SLEEP
144 205.299816 2.293932 ACTIVE
145 160.723214 39.192111 ACTIVE
146 30.386677 13.434172 ACTIVE
147 95.966461 78.294452 SLEEP
148 49.327574 57.015558 ACTIVE
149 73.563115 40.037730 SLEEP
150 95.981010 37.687070 ACTIVE
